distance,100nm_img1.tiff,110nm_img1.tiff,120nm_img1.tiff,30nm_img1.tiff,40nm_img1.tiff,50nm_img1.tiff,60nm_img1.tiff,70nm_img1.tiff,80nm_img1.tiff,90nm_img1.tiff
-30.0,-10.40248870850273,-2.096219778066868,-3.6431736946169564,-1.7453689575195068,-3.947234153748599,-3.769622802733018,9.702175140382412,0.6446886062637383,2.972149848939349,-9.46365833283171
-29.0,-18.15352058411362,-9.050878524787105,-11.072255134589804,-5.422647476196289,-7.702597618104204,-9.782543182371551,2.883975982667711,-5.525001525877372,-3.2231683731059073,-17.641433715827823
-28.0,-26.81776237488555,-17.304492950447063,-19.87176513672679,-9.404256820678683,-12.436053276063554,-17.120378494260663,-5.151020050046601,-12.70220184325973,-10.918083190915837,-26.71261787415324
-27.0,-36.35189819336728,-26.823463439949677,-29.931085586556506,-13.772016525268555,-18.382980346681325,-25.462839126585017,-13.885164260862272,-20.90672874450497,-19.937784194943532,-36.38434600830847
-26.0,-46.61170959473452,-37.55300140381737,-41.15621566773372,-18.569086074829066,-25.47620391845893,-34.287559509275084,-22.803407669065102,-30.05459022521739,-30.04342842101792,-46.35269165039806
-25.0,-57.332450866706964,-49.37160491944263,-53.42221069336871,-23.765428543090838,-33.32618331909351,-42.97946929931459,-31.522897720335088,-39.91155242919715,-40.95410919189143,-56.36417388916722
-24.0,-68.17438507080806,-62.02939605713787,-66.49721527100533,-29.265417098998984,-41.36476898193531,-50.98121643066216,-39.872161865232385,-50.10894012450929,-52.3467559814426,-66.25309753418631
-23.0,-78.78585052490895,-75.1056900024499,-79.97387695313374,-34.92407226562502,-49.06211853027481,-57.91410064697135,-47.870735168455525,-60.19497680663872,-63.837875366207875,-75.92115783692019
-22.0,-88.84125518799405,-88.0277786254959,-93.26482391358202,-40.56477355957027,-56.09297561645613,-63.64651489257688,-55.61484527587723,-69.68245697021278,-74.9640655517554,-85.24547576904847
-21.0,-98.02651977539541,-100.1488952636783,-105.67148590088541,-45.96044158935548,-62.374431610108616,-68.29363250732342,-63.14291381835809,-78.08451080322122,-85.19552612304437,-93.98575592041483
-20.0,-106.00933837890993,-110.84775543213391,-116.51132202148938,-50.78499603271481,-67.96797943115325,-72.14331054687423,-70.34716796874856,-84.95410919189317,-94.00331878661935,-101.77204132080445
-19.0,-112.43280792236574,-119.60111999512067,-125.25376129150736,-54.57797241210938,-72.9143676757819,-75.52030944824169,-76.95706939697168,-89.95079803466723,-100.96297454833827,-108.18789672851818
-18.0,-116.96179199218874,-126.015510559084,-131.59988403320511,-56.77606964111327,-77.09019470214884,-78.60765838622991,-82.59471130370994,-92.90663909912057,-105.84279632568273,-112.88846588134909
-17.0,-119.35411071777351,-129.84196472168026,-135.47837829589918,-56.87658691406249,-80.18212890625028,-81.30091857910121,-86.85140991210883,-93.8563308715819,-108.62781524658146,-115.67345428466835
-16.0,-119.509994506835,-131.00497436523375,-136.97421264648403,-54.678207397460945,-81.78217315673824,-83.1832504272458,-89.36907196044882,-92.98720550537124,-109.46126556396472,-116.45838928222598
-15.0,-117.47865295409981,-129.6262817382797,-136.23179626464722,-50.481544494628885,-81.5394210815427,-83.6655654907226,-89.89440155029291,-90.5250549316409,-108.54611968994158,-115.19121551513526
-14.0,-113.42004394531014,-126.00454711913842,-133.3822937011699,-45.09147644042971,-79.28579711914024,-82.24331665039082,-88.2957458496096,-86.64333343505913,-106.05618286132847,-111.80142974853293
-13.0,-107.55652618407929,-120.51031494140362,-128.51252746581775,-39.564659118652315,-75.06332397460852,-78.74427795410188,-84.5704269409183,-81.4508361816411,-102.09851074218815,-106.24057769775108
-12.0,-100.13094329833686,-113.44834899902054,-121.68422698974312,-34.79727172851564,-69.09500885009683,-73.41945648193423,-78.85532379150459,-75.06644439697341,-96.72799682617251,-98.59362030028976
-11.0,-91.38454437255552,-104.96640777587582,-112.97936248778971,-31.178071975707994,-61.73098373413017,-66.83220672607469,-71.44795227050832,-67.69670867919974,-89.99380493164162,-89.17284393310213
-10.0,-81.5647506713837,-95.08709716796555,-102.55861663818023,-28.50619697570802,-53.437778472899915,-59.599906921387436,-62.80545043945397,-59.64475250244221,-81.98338317871173,-78.50829315185226
-9.0,-70.94192504882528,-83.84572601318042,-90.70002746581702,-26.20778846740721,-44.76438903808506,-52.14213562011757,-53.490249633789524,-51.24890136718793,-72.86054992675898,-67.22539520263382
-8.0,-59.82775878905994,-71.4521408081025,-77.8042602539032,-23.701299667358406,-36.27939224243106,-44.582221984863885,-44.07172393798902,-42.800346374512394,-62.880554199219546,-55.885047912595155
-7.0,-48.57845306396265,-58.373073577878245,-64.37084960937231,-20.662584304809545,-28.452163696288743,-36.84523010253931,-35.03093719482449,-34.50894927978542,-52.37717437744254,-44.88508605956823
-6.0,-37.57988739013494,-45.28449630737093,-50.95747756957788,-17.076551437377937,-21.552680969238175,-28.88546943664599,-26.707014083862795,-26.537218093872553,-41.735145568848296,-34.480743408201484
-5.0,-27.23416328430044,-32.92912673950038,-38.136455535887,-13.128351211547816,-15.622981071471836,-20.896390914917077,-19.31093406677254,-19.07011795043953,-31.361024856568307,-24.88616371154664
-4.0,-17.95971107482822,-21.968841552733345,-26.45346069335823,-9.089254379272466,-10.56905269622787,-13.372182846069634,-12.973241806030524,-12.365369796753194,-21.688695907593157,-16.364522933959154
-3.0,-10.196540832519036,-12.900104522704495,-16.401025772094044,-5.2981243133544655,-6.3144998550414755,-6.9911537170409765,-7.78608131408688,-6.758672714233364,-13.201642990112882,-9.25637054443314
-2.0,-4.386999130248826,-6.0639443397519495,-8.405387878417653,-2.189334869384767,-2.936071395874091,-2.4035549163819274,-3.8361148834229306,-2.6213951110839417,-6.432714462280408,-3.937581062316714
-1.0,-0.9118423461913804,-1.7024252414702885,-2.834659099578777,-0.2703895568847631,-0.7025737762450975,-0.03386497497558497,-1.2115650177001613,-0.28796672821044106,-1.903462409973364,-0.7604322433471463
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-1.6606445312499527,-1.0612607002257999,-0.12136054039001119,-1.6438446044922221,-1.1671123504638334,-2.148559570312693,-0.2754955291748912,-1.8666162490846645,-0.8533163070678469,-1.8069953918456518
2.0,-5.67894744873024,-4.847620010375762,-3.258445501327336,-5.1886310577392605,-4.337880134582338,-6.157602310180771,-2.078369140625065,-5.848707199096795,-4.292652130127064,-6.145789146423093
3.0,-11.675758361815895,-11.11213684081978,-9.22700095176646,-10.376512527465886,-9.35299968719478,-11.629106521606888,-5.393352508545244,-11.753931045532735,-9.898540496826122,-12.746559143065845
4.0,-19.1929035186759,-19.386837005614296,-17.561298370360383,-16.79892539978028,-15.778927803039311,-18.133310317993445,-10.13661384582543,-19.230461120605806,-17.11520195007357,-21.107133865355493
5.0,-27.750738143919683,-29.026227951048433,-27.556856155394087,-23.982305526733477,-23.000934600829602,-25.218633651734024,-16.144514083862916,-27.774503707886524,-25.359086990356538,-30.564336776732056
6.0,-36.8584365844711,-39.297691345213096,-38.38898086547667,-31.415750503540053,-30.34766387939384,-32.41345977783243,-23.168310165405725,-36.763267517090355,-34.083518981934105,-40.416145324705354
7.0,-46.004394531248174,-49.48274612426555,-49.26232910156034,-38.54740142822272,-37.200939178466484,-39.25119018554752,-30.866655349732298,-45.526245117188346,-42.79774475097681,-50.02786254882621
8.0,-54.66150665283006,-58.96073532104276,-59.525890350339466,-44.792472839355476,-43.07149887084917,-45.30916595459023,-38.80715942382872,-53.42736053466848,-51.06749725341855,-58.875213623044864
9.0,-62.32209777831835,-67.24574279784945,-68.71052551269297,-49.59420776367191,-47.63441467285109,-50.23683929443404,-46.476593017579,-59.94541931152405,-58.51615142822297,-66.52366638183398
10.0,-68.5375137329084,-73.98444366454886,-76.4903106689431,-52.52238464355469,-50.74186325073201,-53.75563812255878,-53.29272460937553,-64.72553253173857,-64.8316421508794,-72.58429718017406
11.0,-72.94766998290878,-78.92620086669767,-82.6082305908184,-53.36090850830077,-52.40762710571275,-55.64169311523439,-58.6458511352544,-67.59996032714858,-69.76840209960962,-76.69034576415888
12.0,-75.28634643554608,-81.90647125244038,-86.82402801513528,-52.138000488281236,-52.77254867553707,-55.72541046142557,-61.97787475585949,-68.5715332031249,-73.12638092041034,-78.52017211914
13.0,-75.39474487304683,-82.84893035888638,-88.9064865112297,-49.08982086181635,-52.04695510864268,-53.92721557617127,-62.91053771972631,-67.75279235839803,-74.72762298583982,-77.85533905029321
14.0,-73.22962951660243,-81.77476501464886,-88.6615219116212,-44.570281982421854,-50.443016052246364,-50.30879211425709,-61.36329650878854,-65.27851104736271,-74.39717102050747,-74.64615631103644
15.0,-68.86096191406436,-78.78925323486456,-85.95410919189568,-38.93611907958975,-48.10552597045927,-45.09912872314333,-57.587249755858345,-61.215606689452066,-71.97853088378855,-69.03288269043207
16.0,-62.44940185547166,-74.03406524658419,-80.72348022461175,-32.45162963867171,-45.0794181823735,-38.65167236328009,-52.06813812255753,-55.53415679931524,-67.3683547973622,-61.31091308594101
17.0,-54.211029052738354,-67.62557983398747,-72.98979949951546,-25.254026412963757,-41.30243682861395,-31.347394943235685,-45.32913208007656,-48.161773681638756,-60.56703948974493,-51.851776123051444
18.0,-44.3903503418019,-59.61879348755292,-62.88400650024931,-17.407106399536072,-36.647552490235334,-23.491792678831548,-37.74699401855322,-39.1086349487286,-51.71180725097467,-41.031486511236004
19.0,-33.256622314459136,-50.02121734619659,-50.68474197388354,-9.014493942260618,-30.9908561706552,-15.264719009397506,-29.468599319455993,-28.58008384704331,-41.09157562255681,-29.19086647034331
20.0,-21.11137962341999,-38.84854125977198,-36.8431472778399,-0.3073711395261515,-24.280445098878193,-6.744373321531492,-20.465036392209967,-17.006902694699797,-29.133081436154733,-16.64401435852764
21.0,-8.289497375495934,-26.20013046265403,-21.95252227784092,8.364397048950313,-16.58111572265789,2.0151519775412408,-10.673074722287456,-4.963286399838381,-16.36238288879177,-3.703532218940829
22.0,4.850128173819909,-12.315925598153212,-6.67319202424051,16.631816864013725,-8.069602012636333,10.900245666505814,-0.1400585174536623,6.977622985842314,-3.3307647705050387,9.304192543021651
23.0,17.948221206656477,2.4057655334376413,8.36212730406732,24.231241226196385,0.9901714324933479,19.701988220217086,10.899319648745639,18.37421226501747,9.468601226808937,22.044406890860813
24.0,30.658260345450316,17.425951480855232,22.624919891347695,31.042673110962063,10.265150070188355,28.120658874513552,22.017919540407807,28.958873748781592,21.668342590334735,34.19148254393703
25.0,42.65143585204226,32.11439895628839,35.727588653555145,37.04040145874033,19.374881744382467,35.82141494751166,32.654914855959746,38.60069274902588,33.03366088867405,45.437980651847475
26.0,53.60290527342941,45.81686401366175,47.414459228506985,42.21423339843761,27.914587020871625,42.503883361817806,42.20844650268758,47.20417785644721,43.39763641357657,55.49446868895741
27.0,63.18319702147703,57.94009780882859,57.538215637199265,46.52559661865233,35.511264801023636,47.96749877929815,50.15155410766785,54.63345336914247,52.57897949218926,64.0868148803645
28.0,71.0787811279234,68.02689361571463,66.03393554686824,49.93422698974621,41.870052337644836,52.13535308837971,56.15235519409291,60.68443298339967,60.3345031738298,70.97755432128358
29.0,77.0368194580029,75.80544281005218,72.89553833007247,52.436046600341825,46.78273010253765,55.02455902099663,60.16539001464918,65.1274032592782,66.39423370361432,76.00378417968335
30.0,80.913650512692,81.19477081298369,78.14943695067912,54.071231842041,50.10577011108293,56.67811584472669,62.43639373779325,67.78210449218774,70.55220031738347,79.11000823974345
31.0,82.68601226806484,84.28369140624727,81.80655670165693,54.867244720458984,51.75637817382768,57.100242614745795,63.39599609375003,68.5939712524411,72.76535034179699,80.33965301513564
32.0,82.42023468017602,85.3005905151358,83.81890106200989,54.76732635498046,51.747432708740234,56.240806579589155,63.48093414306624,67.67127227783128,73.19596862792936,79.78756713867237
33.0,80.22180175781456,84.58216857910223,84.07303619384741,53.6001586914062,50.23604583740284,54.05528259277219,62.95877075195273,65.26834106445185,72.17957305908143,77.553810119631
34.0,76.21920013428121,82.51842498779496,82.44940185547031,51.14537048339833,47.51881027221776,50.601280212400845,61.86012268066345,61.722442626951675,70.12571716308503,73.74239349365602
35.0,70.59812927246656,79.46314239502257,78.937866210941,47.28404235839844,43.95616531372179,46.1168479919414,60.04026031494037,57.37223052978329,67.38774871826074,68.52175903320835
36.0,63.6605834961009,75.63183593750395,73.73661041260301,42.14918899536103,39.87364959716933,41.01244735717587,57.34184265136591,52.50227355956847,64.16116333007682,62.1912536621159
37.0,55.850616455086396,71.05925750732906,67.27024841309279,36.18680572509753,35.50047683715979,35.78186798095504,53.748229980467,47.32881927490019,60.466552734373614,55.19834899903084
38.0,47.71562957764556,65.65819549561134,60.09332656861132,30.063606262207074,30.980461120607234,30.870140075681974,49.43564987182439,42.017532348630816,56.226829528806775,48.06633758545697
39.0,39.813636779793974,59.36693191529022,52.73019027710782,24.464958190917773,26.41888809204257,26.567190170286544,44.70777130126747,36.70914840698022,51.39362335204892,41.27422332764429
40.0,32.619239807137134,52.29901885987137,45.54094314576018,19.874401092529247,21.919462203981155,22.950832366942148,39.87002563476374,31.536680221555667,46.04206085204853,35.143867492682794
41.0,26.459678649909566,44.805976867684564,38.69790649414865,16.43993759155268,17.58950996399098,19.90501785278199,35.14130783080857,26.63865661620894,40.383666992185404,29.809068679815823
42.0,21.50085067749619,37.41775512696199,32.270072937019435,13.975626945495552,13.531661987306418,17.197977066038952,30.65141487121411,22.17485809326011,34.71104431152118,25.2597503662164
43.0,17.75857162476046,30.696342468269982,26.351613998420362,12.084915161132812,9.84656143188618,14.604597091673595,26.504663467405532,18.33893203735211,29.32705497741511,21.43585205078595
44.0,15.131301879886117,25.08912277222385,21.130031585699925,10.347917556762603,6.639009475709329,12.025093078612192,22.831897735594385,15.341876983641706,24.512817382810738,18.308240890506863
45.0,13.4392452240012,20.846433639531824,16.855426788335578,8.496372222900348,4.02299499511834,9.553775787352501,19.79371452331434,13.361072540282773,20.514858245848377,15.91135883331607
46.0,12.474979400636034,18.016714096073056,13.730676651005083,6.531230926513686,2.115087509156168,7.452750205993009,17.53459930419858,12.473035812377995,17.525924682616324,14.313974380495264
47.0,12.059892654419503,16.48735618591514,11.815379142763803,4.735904693603467,0.9982366561894331,6.039463996886957,16.126939773559272,12.617137908936044,15.629129409789666,13.558495521546424
48.0,12.088083267211875,16.03554344177308,10.994548797608548,3.579704284667968,0.6824207305909618,5.5427618026735646,15.536643028259318,13.604455947876716,14.753557205200158,13.605012893676694
49.0,12.53816795349058,16.37124824523879,11.03623676300043,3.53141403198245,1.0701856613157332,6.0149707794196345,15.623126983642864,15.15695381164645,14.673969268799006,14.305587768553707
50.0,13.43040847778193,17.171108245848465,11.687747955321335,4.848676681518646,1.9465932846064915,7.325656890870091,16.16582489013709,16.947937011719592,15.070497512817655,15.415827751158082
51.0,14.751677513120635,18.11978721618514,12.751418113706947,7.429882049560571,3.018696784972657,9.235924720765388,16.911069869995504,18.641822814942113,15.616672515869341,16.64221763610661
52.0,16.389171600339367,18.95670127868528,14.097412109373002,10.80023002624529,3.996550559997086,11.479700088502186,17.62695121765163,19.93686676025426,16.04476165771491,17.721813201902695
53.0,18.117912292477854,19.51659202575599,15.618181228635393,14.24944019317633,4.683490753173476,13.81126785278445,18.13980102539074,20.62442207336427,16.176836013793825,18.506105422972446
54.0,19.65942764281989,19.745359420776015,17.17305946349858,17.0575370788574,5.031619071960261,16.004949569703136,18.342422485351484,20.641082763671577,15.929292678832677,19.0102176666252
55.0,20.769905090330287,19.6727752685548,18.56057929992458,18.716663360595717,5.1329140663146475,17.83462333679272,18.192659378051477,20.085342407226033,15.31856250762895,19.38661766052187
